# 10
10  1  6.1e-05  6.1e-05
10  4  6.1e-05  0.001679
10  8  6.1e-05  0.002828
10  12  6.1e-05  0.002812
10  16  6.1e-05  0.002937
10  24  6.1e-05  0.00284
10  32  6.1e-05  0.002913
10  48  6.1e-05  0.00279
10  64  6.1e-05  0.002834


# 100
100  1  0.0039  0.0039
100  4  0.0039  0.026548
100  8  0.0039  0.051914
100  12  0.0039  0.052447
100  16  0.0039  0.052026
100  24  0.0039  0.052069
100  32  0.0039  0.052011
100  48  0.0039  0.05152
100  64  0.0039  0.051535


# 300
300  1  0.089137  0.089137
300  4  0.089137  0.120895
300  8  0.089137  0.360902
300  12  0.089137  0.362159
300  16  0.089137  0.363263
300  24  0.089137  0.364156
300  32  0.089137  0.3611
300  48  0.089137  0.363069
300  64  0.089137  0.362523


# 600
600  1  0.633985  0.633985
600  4  0.633985  0.552194
600  8  0.633985  0.515703
600  12  0.633985  0.514419
600  16  0.633985  0.521066
600  24  0.633985  0.521023
600  32  0.633985  0.519416
600  48  0.633985  0.513559
600  64  0.633985  0.515437


# 800
800  1  1.589335  1.589335
800  4  1.589335  1.195861
800  8  1.589335  0.965311
800  12  1.589335  0.967566
800  16  1.589335  0.966294
800  24  1.589335  0.963176
800  32  1.589335  0.967382
800  48  1.589335  0.966703
800  64  1.589335  0.965746


# 1000
1000  1  3.075793  3.075793
1000  4  3.075793  2.174927
1000  8  3.075793  1.656517
1000  12  3.075793  1.65464
1000  16  3.075793  1.654556
1000  24  3.075793  1.659087
1000  32  3.075793  1.656299
1000  48  3.075793  1.659684
1000  64  3.075793  1.653659


# 1500
1500  1  10.801071  10.801071
1500  4  10.801071  7.076223
1500  8  10.801071  4.824858
1500  12  10.801071  4.806597
1500  16  10.801071  4.828798
1500  24  10.801071  4.825176
1500  32  10.801071  4.824178
1500  48  10.801071  4.838559
1500  64  10.801071  4.826944


# 2000
2000  1  27.417537  27.417537
2000  4  27.417537  14.442284
2000  8  27.417537  15.505165
2000  12  27.417537  15.528574
2000  16  27.417537  15.389733
2000  24  27.417537  15.413067
2000  32  27.417537  15.311766
2000  48  27.417537  15.546908
2000  64  27.417537  15.432976


# 3000
3000  1  97.721091  97.721091
3000  4  97.721091  42.868905
3000  8  97.721091  43.557218
3000  12  97.721091  43.365685
3000  16  97.721091  43.506356
3000  24  97.721091  43.198649
3000  32  97.721091  43.057011
3000  48  97.721091  43.472298
3000  64  97.721091  42.949009



